ID,Tip,Nume,Cantitate,PragAlerta,PretAchizitie,PretVanzare,VolumM3
8183,Hardware,Trusa Tubulare Model 21,61,7,234.0,308.19,0.097
8184,Hardware,Set Imbusuri Model 8,22,7,52.66,76.54,0.184
8185,Auto,Set Placute Frana Model 63,109,16,255.16,383.65,0.054
8186,Auto,Baterie 12V 70Ah Model 28,114,17,151.92,230.93,0.362
8187,Auto,Rulment Roata Fata Model 75,138,17,188.27,231.31,0.417
8188,Hardware,Incarcator Gaz Model 14,93,14,101.74,236.14,0.103
8189,Perisabile,[Perisabile] Adeziv Industrial Model 30,18,13,80.51,191.2,0.226
8190,Hardware,Trusa Tubulare Model 36,114,17,177.28,217.7,0.397
8191,Auto,Baterie 12V 70Ah Model 5,1,10,263.47,611.15,0.152
8192,Hardware,Trusa Tubulare Model 49,31,11,236.18,517.43,0.202
8193,Hardware,Incarcator Gaz Model 63,38,17,124.32,306.36,0.036
8194,Perisabile,[Perisabile] Spray Degripant Model 63,91,7,150.36,229.25,0.281
8195,Hardware,Incarcator Gaz Model 23,66,6,85.96,136.64,0.413
8196,Electronice,[Electronice] Osciloscop Model 26,108,15,28.92,39.08,0.24
8197,Perisabile,[Perisabile] Spray Degripant Model 74,56,14,208.96,284.91,0.327
8198,Hardware,Set Imbusuri Model 39,53,20,68.66,143.63,0.417
8199,Auto,Baterie 12V 70Ah Model 20,81,16,156.16,317.1,0.225
8200,Electronice,[Electronice] Modul Transmisie LoRa Model 85,4,6,233.51,344.02,0.27
8201,Auto,Baterie 12V 70Ah Model 34,79,19,266.37,554.08,0.091
8202,Electronice,[Electronice] Osciloscop Model 32,94,18,96.42,161.71,0.069
8203,Hardware,Trusa Tubulare Model 39,6,7,249.11,557.67,0.436
8204,Hardware,Trusa Tubulare Model 20,17,15,94.4,223.38,0.104
8205,Auto,Furtun Intercooler 2.0 TDI Model 45,87,16,20.63,37.85,0.031
8206,Electronice,[Electronice] Osciloscop Model 52,76,18,58.83,123.55,0.02
8207,Auto,Furtun Intercooler 2.0 TDI Model 96,7,17,180.81,271.61,0.306
8208,Perisabile,[Perisabile] Spray Degripant Model 7,129,18,210.76,384.93,0.035
8209,Electronice,[Electronice] Osciloscop Model 19,35,17,281.69,530.01,0.26
8210,Auto,Senzor Debitmetru Model 61,24,13,37.73,73.48,0.102
8211,Auto,Set Placute Frana Model 72,43,5,257.12,472.49,0.34
8212,Hardware,Set Imbusuri Model 74,69,14,35.63,64.82,0.161
8213,Perisabile,[Perisabile] Adeziv Industrial Model 75,93,10,20.97,35.05,0.369
8214,Hardware,Cheie Dinamometrica Model 66,16,14,18.97,35.78,0.176
8215,Perisabile,[Perisabile] Spray Degripant Model 88,145,19,235.7,572.17,0.041
8216,Auto,Senzor Debitmetru Model 85,149,5,287.88,541.1,0.102
8217,Electronice,[Electronice] Modul Transmisie LoRa Model 91,87,11,296.21,487.01,0.374
8218,Auto,Filtru Aer Model 77,41,16,61.59,151.21,0.115
8219,Auto,Set Placute Frana Model 5,109,17,23.33,31.44,0.165
8220,Auto,Senzor Debitmetru Model 32,114,16,105.71,127.86,0.464
8221,Perisabile,[Perisabile] Solutie Curatare Frane Model 10,88,13,288.57,658.3,0.093
8222,Auto,Rulment Roata Fata Model 97,149,13,248.33,534.02,0.408
8223,Electronice,[Electronice] Multimetru Analogic Model 90,106,19,166.8,320.82,0.219
8224,Perisabile,[Perisabile] Spray Degripant Model 71,72,15,279.61,414.9,0.198
8225,Auto,Senzor Debitmetru Model 68,15,19,86.17,200.96,0.019
8226,Auto,Set Placute Frana Model 51,65,11,281.17,519.98,0.332
8227,Hardware,Trusa Tubulare Model 14,15,20,173.4,215.48,0.371
8228,Auto,Furtun Intercooler 2.0 TDI Model 14,74,9,105.18,224.69,0.491
8229,Auto,Set Placute Frana Model 7,143,6,295.02,500.69,0.456
8230,Electronice,[Electronice] Multimetru Analogic Model 26,132,13,50.45,86.44,0.198
8231,Electronice,[Electronice] Osciloscop Model 10,130,6,67.92,158.26,0.156
8232,Hardware,Incarcator Gaz Model 85,77,11,74.19,117.22,0.462
8233,Hardware,Set Imbusuri Model 57,36,20,78.34,112.55,0.094
8234,Auto,Filtru Aer Model 72,135,19,249.34,502.12,0.451
8235,Electronice,[Electronice] Modul Transmisie LoRa Model 67,11,12,257.31,453.24,0.01
8236,Auto,Baterie 12V 70Ah Model 18,51,11,114.72,167.24,0.236
8237,Perisabile,[Perisabile] Adeziv Industrial Model 37,73,12,79.56,131.54,0.498
8238,Auto,Senzor Debitmetru Model 94,88,14,148.43,352.64,0.191
8239,Auto,Filtru Aer Model 12,48,13,167.7,418.09,0.078
8240,Auto,Rulment Roata Fata Model 60,34,6,288.89,429.77,0.452
8241,Electronice,[Electronice] Osciloscop Model 81,40,14,134.94,261.3,0.464
8242,Perisabile,[Perisabile] Solutie Curatare Frane Model 17,16,19,32.22,61.5,0.317
8243,Hardware,Set Imbusuri Model 55,130,16,247.96,386.04,0.213
8244,Auto,Rulment Roata Fata Model 25,19,17,65.15,106.53,0.128
8245,Auto,Set Placute Frana Model 15,42,18,185.95,239.08,0.485
8246,Electronice,[Electronice] Multimetru Analogic Model 13,27,10,237.06,479.41,0.133
8247,Perisabile,[Perisabile] Solutie Curatare Frane Model 7,142,8,57.97,83.84,0.145
8248,Electronice,[Electronice] Osciloscop Model 14,27,14,99.24,189.59,0.34
8249,Hardware,Incarcator Gaz Model 20,124,14,138.36,202.18,0.195
8250,Perisabile,[Perisabile] Spray Degripant Model 57,55,14,107.78,238.32,0.219
8251,Auto,Furtun Intercooler 2.0 TDI Model 31,71,20,140.56,183.44,0.147
8252,Electronice,[Electronice] Modul Transmisie LoRa Model 5,3,8,270.59,568.73,0.409
8253,Electronice,[Electronice] Multimetru Analogic Model 95,75,13,185.81,292.22,0.26
8254,Electronice,[Electronice] Osciloscop Model 3,133,20,247.3,323.06,0.093
8255,Auto,Furtun Intercooler 2.0 TDI Model 58,67,6,114.56,219.08,0.372
8256,Electronice,[Electronice] Multimetru Analogic Model 60,132,16,88.75,118.37,0.416
8257,Electronice,[Electronice] Osciloscop Model 5,80,15,222.22,449.01,0.49
8258,Auto,Senzor Debitmetru Model 73,119,12,235.52,461.21,0.05
8259,Perisabile,[Perisabile] Solutie Curatare Frane Model 3,130,18,242.67,535.93,0.083
8260,Auto,Rulment Roata Fata Model 64,39,18,207.29,259.76,0.498
8261,Perisabile,[Perisabile] Spray Degripant Model 23,83,14,122.2,249.74,0.295
8262,Hardware,Trusa Tubulare Model 42,117,9,211.19,456.71,0.158
8263,Auto,Filtru Aer Model 68,7,14,40.63,88.25,0.105
8264,Auto,Baterie 12V 70Ah Model 73,146,9,71.48,89.62,0.113
8265,Perisabile,[Perisabile] Adeziv Industrial Model 92,94,13,258.68,494.48,0.403
8266,Auto,Baterie 12V 70Ah Model 73,126,5,186.15,344.86,0.228
8267,Perisabile,[Perisabile] Spray Degripant Model 20,32,9,289.07,630.09,0.179
8268,Perisabile,[Perisabile] Adeziv Industrial Model 55,103,14,31.83,76.9,0.466
8269,Auto,Senzor Debitmetru Model 12,84,8,288.05,384.23,0.084
8270,Perisabile,[Perisabile] Solutie Curatare Frane Model 64,87,7,15.52,35.22,0.329
8271,Hardware,Set Imbusuri Model 30,23,14,167.88,303.26,0.052
8272,Auto,Furtun Intercooler 2.0 TDI Model 13,59,5,46.35,106.27,0.182
8273,Auto,Filtru Aer Model 14,4,7,39.81,63.73,0.46
8274,Electronice,[Electronice] Osciloscop Model 24,44,15,219.47,454.47,0.106
8275,Hardware,Trusa Tubulare Model 81,95,19,141.97,258.58,0.051
8276,Hardware,Set Imbusuri Model 32,4,20,269.13,587.73,0.05
8277,Perisabile,[Perisabile] Solutie Curatare Frane Model 2,71,11,295.77,540.69,0.369
8278,Auto,Furtun Intercooler 2.0 TDI Model 6,95,9,17.25,43.11,0.39
8279,Perisabile,[Perisabile] Adeziv Industrial Model 95,69,5,160.31,224.91,0.142
8280,Auto,Set Placute Frana Model 60,127,12,14.76,35.66,0.426
8281,Hardware,Cheie Dinamometrica Model 92,109,16,291.12,703.23,0.306
8282,Auto,Filtru Aer Model 69,7,5,115.49,143.36,0.023
8283,Electronice,[Electronice] Multimetru Analogic Model 43,97,20,269.66,598.57,0.324
8284,Hardware,Cheie Dinamometrica Model 86,65,16,131.21,257.68,0.13
8285,Hardware,Incarcator Gaz Model 30,97,6,269.21,492.09,0.107
8286,Electronice,[Electronice] Sursa Laborator Model 28,64,8,163.58,387.42,0.468
8287,Auto,Furtun Intercooler 2.0 TDI Model 98,71,10,258.51,394.94,0.463
8288,Perisabile,[Perisabile] Adeziv Industrial Model 79,42,18,141.29,291.97,0.405
8289,Electronice,[Electronice] Multimetru Analogic Model 21,49,11,217.35,345.63,0.184
8290,Hardware,Trusa Tubulare Model 15,107,15,275.96,606.45,0.128
8291,Electronice,[Electronice] Modul Transmisie LoRa Model 43,66,5,125.55,282.27,0.111
8292,Electronice,[Electronice] Multimetru Analogic Model 14,110,12,224.82,549.12,0.244
8293,Perisabile,[Perisabile] Adeziv Industrial Model 54,84,7,159.26,353.27,0.075
8294,Auto,Senzor Debitmetru Model 89,44,10,31.49,78.19,0.357
8295,Perisabile,[Perisabile] Adeziv Industrial Model 55,104,17,175.51,325.18,0.397
8296,Hardware,Set Imbusuri Model 96,76,19,212.74,512.9,0.047
8297,Perisabile,[Perisabile] Spray Degripant Model 61,46,19,40.75,51.03,0.066
8298,Hardware,Cheie Dinamometrica Model 94,71,17,90.74,194.72,0.053
8299,Auto,Filtru Aer Model 60,81,14,35.08,87.13,0.186
8300,Electronice,[Electronice] Multimetru Analogic Model 9,61,18,173.6,312.7,0.073
8301,Electronice,[Electronice] Multimetru Analogic Model 35,114,14,138.37,307.23,0.213
8302,Perisabile,[Perisabile] Adeziv Industrial Model 56,90,13,141.58,256.16,0.257
8303,Perisabile,[Perisabile] Spray Degripant Model 60,76,19,234.97,328.94,0.3
8304,Perisabile,[Perisabile] Spray Degripant Model 55,70,20,66.29,102.16,0.145
8305,Auto,Furtun Intercooler 2.0 TDI Model 68,28,16,46.37,100.71,0.483
8306,Auto,Baterie 12V 70Ah Model 58,11,7,229.51,416.28,0.206
8307,Electronice,[Electronice] Sursa Laborator Model 5,95,15,210.16,293.09,0.07
8308,Hardware,Cheie Dinamometrica Model 61,112,19,240.61,334.14,0.373
8309,Electronice,[Electronice] Osciloscop Model 42,126,18,69.6,135.26,0.357
8310,Auto,Senzor Debitmetru Model 57,75,5,228.5,508.54,0.093
8311,Electronice,[Electronice] Modul Transmisie LoRa Model 55,124,11,218.06,434.84,0.162
8312,Auto,Filtru Aer Model 92,149,8,227.86,432.78,0.444
8313,Perisabile,[Perisabile] Spray Degripant Model 22,125,9,291.47,403.11,0.021
8314,Perisabile,[Perisabile] Solutie Curatare Frane Model 69,60,20,213.44,477.63,0.018
8315,Perisabile,[Perisabile] Adeziv Industrial Model 53,129,7,146.32,326.16,0.315
8316,Auto,Filtru Aer Model 69,117,20,221.83,451.17,0.073
8317,Auto,Senzor Debitmetru Model 41,135,12,111.47,186.46,0.122
8318,Hardware,Incarcator Gaz Model 77,35,12,275.26,586.53,0.299
8319,Perisabile,[Perisabile] Spray Degripant Model 53,42,20,134.08,211.98,0.392
8320,Hardware,Incarcator Gaz Model 79,122,11,147.63,296.65,0.015
8321,Electronice,[Electronice] Osciloscop Model 15,137,20,282.28,443.53,0.248
8322,Electronice,[Electronice] Multimetru Analogic Model 64,61,12,281.45,529.27,0.471
8323,Perisabile,[Perisabile] Solutie Curatare Frane Model 77,87,7,54.54,112.19,0.062
8324,Hardware,Cheie Dinamometrica Model 29,107,16,29.36,35.98,0.364
8325,Perisabile,[Perisabile] Spray Degripant Model 24,13,15,282.32,407.16,0.189
8326,Hardware,Incarcator Gaz Model 68,126,6,127.79,267.07,0.428
8327,Perisabile,[Perisabile] Adeziv Industrial Model 39,67,11,282.76,370.01,0.332
8328,Perisabile,[Perisabile] Adeziv Industrial Model 11,40,20,244.93,460.12,0.157
8329,Hardware,Cheie Dinamometrica Model 68,126,10,163.17,293.1,0.038
8330,Auto,Baterie 12V 70Ah Model 76,127,5,97.72,241.72,0.059
8331,Auto,Filtru Aer Model 83,0,10,258.4,458.02,0.232
8332,Electronice,[Electronice] Osciloscop Model 12,10,14,102.5,192.9,0.024
8333,Hardware,Set Imbusuri Model 35,87,10,99.08,158.96,0.088
8334,Auto,Senzor Debitmetru Model 69,101,14,160.48,362.87,0.021
8335,Hardware,Set Imbusuri Model 59,78,15,99.23,176.84,0.333
8336,Auto,Set Placute Frana Model 3,81,6,124.38,297.11,0.258
8337,Electronice,[Electronice] Sursa Laborator Model 43,57,17,290.11,532.77,0.322
8338,Perisabile,[Perisabile] Adeziv Industrial Model 80,141,16,17.2,32.61,0.034
8339,Electronice,[Electronice] Sursa Laborator Model 61,150,5,266.37,410.05,0.488
8340,Electronice,[Electronice] Modul Transmisie LoRa Model 96,54,20,111.75,244.25,0.484
8341,Electronice,[Electronice] Sursa Laborator Model 40,20,11,204.38,425.03,0.208
8342,Perisabile,[Perisabile] Adeziv Industrial Model 43,80,6,209.12,284.59,0.349
8343,Hardware,Cheie Dinamometrica Model 77,13,14,113.44,180.46,0.118
8344,Auto,Senzor Debitmetru Model 43,91,9,182.61,244.53,0.318
8345,Auto,Furtun Intercooler 2.0 TDI Model 65,38,18,160.89,225.36,0.184
8346,Hardware,Incarcator Gaz Model 4,78,6,111.35,198.96,0.105
8347,Hardware,Trusa Tubulare Model 62,61,14,117.85,226.68,0.201
8348,Auto,Rulment Roata Fata Model 36,22,10,189.44,464.04,0.037
8349,Perisabile,[Perisabile] Solutie Curatare Frane Model 73,40,17,159.25,256.97,0.256
8350,Perisabile,[Perisabile] Adeziv Industrial Model 82,51,16,12.15,23.5,0.434
8351,Perisabile,[Perisabile] Spray Degripant Model 46,77,15,29.78,59.78,0.139
8352,Perisabile,[Perisabile] Solutie Curatare Frane Model 89,58,11,121.32,301.69,0.297
8353,Electronice,[Electronice] Modul Transmisie LoRa Model 53,91,19,19.67,26.38,0.347
8354,Electronice,[Electronice] Multimetru Analogic Model 40,91,9,233.78,559.44,0.259
8355,Auto,Furtun Intercooler 2.0 TDI Model 48,63,16,177.12,256.15,0.45
8356,Perisabile,[Perisabile] Adeziv Industrial Model 19,30,8,105.02,241.27,0.127
8357,Electronice,[Electronice] Osciloscop Model 85,46,10,123.2,244.2,0.316
8358,Hardware,Trusa Tubulare Model 27,75,17,100.15,161.96,0.167
8359,Perisabile,[Perisabile] Adeziv Industrial Model 9,14,6,62.53,122.06,0.398
8360,Auto,Rulment Roata Fata Model 12,7,14,88.38,190.97,0.029
8361,Perisabile,[Perisabile] Spray Degripant Model 14,137,10,294.99,397.36,0.441
8362,Electronice,[Electronice] Osciloscop Model 48,120,15,223.13,463.53,0.121
8363,Auto,Rulment Roata Fata Model 49,123,18,168.38,261.09,0.235
8364,Perisabile,[Perisabile] Solutie Curatare Frane Model 79,32,18,182.09,238.81,0.036
8365,Hardware,Trusa Tubulare Model 21,85,17,249.51,553.54,0.177
8366,Electronice,[Electronice] Modul Transmisie LoRa Model 48,71,16,139.75,318.68,0.146
8367,Hardware,Trusa Tubulare Model 72,38,18,115.28,232.84,0.462
8368,Electronice,[Electronice] Modul Transmisie LoRa Model 23,135,6,24.15,39.61,0.345
8369,Perisabile,[Perisabile] Solutie Curatare Frane Model 61,91,17,169.38,340.95,0.332
8370,Electronice,[Electronice] Modul Transmisie LoRa Model 86,14,14,204.48,491.99,0.223
8371,Perisabile,[Perisabile] Adeziv Industrial Model 55,45,13,247.2,460.8,0.014
8372,Hardware,Cheie Dinamometrica Model 32,44,16,176.39,367.05,0.238
8373,Auto,Senzor Debitmetru Model 49,30,12,161.71,358.03,0.455
8374,Hardware,Incarcator Gaz Model 71,49,6,103.22,154.87,0.105
8375,Perisabile,[Perisabile] Adeziv Industrial Model 56,121,20,119.72,233.98,0.225
8376,Hardware,Set Imbusuri Model 91,148,5,171.26,323.41,0.201
8377,Auto,Set Placute Frana Model 66,77,10,280.69,527.06,0.033
8378,Electronice,[Electronice] Modul Transmisie LoRa Model 76,51,11,214.77,397.35,0.474
8379,Electronice,[Electronice] Multimetru Analogic Model 28,127,11,114.2,193.84,0.402
8380,Auto,Rulment Roata Fata Model 75,70,17,43.98,61.59,0.491
8381,Electronice,[Electronice] Sursa Laborator Model 58,113,17,144.58,180.46,0.046
8382,Auto,Furtun Intercooler 2.0 TDI Model 58,2,12,229.19,378.09,0.474
8383,Hardware,Trusa Tubulare Model 93,45,13,175.8,308.68,0.421
8384,Hardware,Trusa Tubulare Model 31,65,14,198.23,260.14,0.062
8385,Electronice,[Electronice] Multimetru Analogic Model 80,144,12,106.06,201.29,0.026
8386,Perisabile,[Perisabile] Adeziv Industrial Model 49,46,16,203.55,453.5,0.146
8387,Electronice,[Electronice] Multimetru Analogic Model 95,22,12,27.88,64.22,0.306
8388,Hardware,Set Imbusuri Model 44,70,5,179.61,369.95,0.427
8389,Auto,Senzor Debitmetru Model 61,110,6,99.62,136.25,0.07
8390,Perisabile,[Perisabile] Spray Degripant Model 85,150,14,152.64,220.02,0.028
8391,Perisabile,[Perisabile] Spray Degripant Model 46,142,6,224.14,339.99,0.224
8392,Perisabile,[Perisabile] Adeziv Industrial Model 12,6,7,141.44,229.4,0.182
8393,Electronice,[Electronice] Multimetru Analogic Model 8,31,9,165.74,220.84,0.45
8394,Perisabile,[Perisabile] Adeziv Industrial Model 12,62,5,163.21,279.18,0.308
8395,Electronice,[Electronice] Sursa Laborator Model 43,120,10,19.42,33.08,0.033
8396,Auto,Senzor Debitmetru Model 39,71,7,190.96,233.36,0.062
8397,Electronice,[Electronice] Modul Transmisie LoRa Model 49,128,16,97.04,130.69,0.14
8398,Electronice,[Electronice] Sursa Laborator Model 75,41,20,138.34,291.1,0.211
8399,Electronice,[Electronice] Sursa Laborator Model 43,94,19,86.59,116.73,0.464
8400,Auto,Rulment Roata Fata Model 60,132,8,47.94,77.29,0.395
8401,Hardware,Trusa Tubulare Model 67,64,5,66.55,96.51,0.357
8402,Hardware,Trusa Tubulare Model 28,93,5,28.02,61.23,0.434
8403,Electronice,[Electronice] Sursa Laborator Model 86,73,10,266.12,649.55,0.088
8404,Auto,Rulment Roata Fata Model 39,68,19,89.14,108.93,0.236
8405,Electronice,[Electronice] Osciloscop Model 37,101,6,112.99,276.64,0.147
8406,Auto,Filtru Aer Model 63,120,15,94.17,195.61,0.201
8407,Perisabile,[Perisabile] Spray Degripant Model 96,95,12,33.77,81.47,0.207
8408,Hardware,Set Imbusuri Model 26,22,18,18.29,25.07,0.15
8409,Hardware,Trusa Tubulare Model 72,12,15,62.9,137.97,0.236
8410,Hardware,Set Imbusuri Model 2,19,18,131.56,298.13,0.053
8411,Perisabile,[Perisabile] Spray Degripant Model 56,149,9,77.26,135.55,0.46
8412,Auto,Filtru Aer Model 25,101,19,71.82,168.13,0.464
8413,Electronice,[Electronice] Multimetru Analogic Model 13,5,9,86.39,168.28,0.429
8414,Electronice,[Electronice] Sursa Laborator Model 95,115,18,197.92,477.95,0.269
8415,Electronice,[Electronice] Multimetru Analogic Model 72,87,8,91.9,140.44,0.148
8416,Hardware,Cheie Dinamometrica Model 26,116,14,147.43,305.08,0.476
8417,Perisabile,[Perisabile] Spray Degripant Model 46,37,13,89.87,150.4,0.489
8418,Auto,Senzor Debitmetru Model 8,56,18,44.82,100.77,0.338
8419,Auto,Rulment Roata Fata Model 50,55,15,138.09,231.05,0.42
8420,Auto,Rulment Roata Fata Model 85,132,12,244.67,357.91,0.096
8421,Electronice,[Electronice] Osciloscop Model 19,85,20,281.96,550.8,0.32
8422,Auto,Furtun Intercooler 2.0 TDI Model 83,130,17,152.72,327.94,0.101
8423,Hardware,Trusa Tubulare Model 17,4,10,101.35,238.81,0.368
8424,Auto,Rulment Roata Fata Model 86,91,15,214.88,383.91,0.495
8425,Hardware,Incarcator Gaz Model 78,134,16,65.32,139.24,0.236
8426,Electronice,[Electronice] Modul Transmisie LoRa Model 5,43,11,71.9,133.3,0.137
8427,Electronice,[Electronice] Modul Transmisie LoRa Model 79,89,20,47.98,116.68,0.099
8428,Hardware,Cheie Dinamometrica Model 79,147,8,255.61,597.7,0.498
8429,Hardware,Set Imbusuri Model 92,79,11,159.62,226.89,0.194
8430,Perisabile,[Perisabile] Adeziv Industrial Model 58,61,11,267.32,447.47,0.342
8431,Electronice,[Electronice] Osciloscop Model 74,95,16,106.55,171.96,0.336
8432,Perisabile,[Perisabile] Adeziv Industrial Model 54,5,17,104.32,193.79,0.33
8433,Hardware,Cheie Dinamometrica Model 26,125,20,178.47,385.19,0.033
8434,Perisabile,[Perisabile] Solutie Curatare Frane Model 33,75,6,29.47,47.97,0.198
8435,Electronice,[Electronice] Osciloscop Model 10,136,8,211.48,398.36,0.39
8436,Perisabile,[Perisabile] Adeziv Industrial Model 25,19,18,88.33,189.8,0.373
8437,Auto,Furtun Intercooler 2.0 TDI Model 12,79,15,13.58,18.16,0.392
8438,Hardware,Incarcator Gaz Model 42,84,9,15.16,23.7,0.496
8439,Electronice,[Electronice] Osciloscop Model 93,15,8,113.35,222.64,0.114
8440,Perisabile,[Perisabile] Spray Degripant Model 89,48,12,283.52,543.92,0.178
8441,Perisabile,[Perisabile] Spray Degripant Model 8,118,16,16.21,25.09,0.034
8442,Electronice,[Electronice] Osciloscop Model 93,131,9,21.34,48.34,0.297
8443,Electronice,[Electronice] Osciloscop Model 87,70,13,155.92,377.93,0.297
8444,Perisabile,[Perisabile] Spray Degripant Model 91,48,18,144.79,358.8,0.177
8445,Hardware,Set Imbusuri Model 34,4,11,232.88,492.16,0.111
8446,Auto,Senzor Debitmetru Model 43,74,9,246.79,491.92,0.186
8447,Electronice,[Electronice] Modul Transmisie LoRa Model 51,13,12,159.16,262.0,0.177
8448,Auto,Furtun Intercooler 2.0 TDI Model 78,129,16,31.53,60.87,0.432
8449,Auto,Filtru Aer Model 66,69,14,224.88,342.39,0.331
8450,Perisabile,[Perisabile] Solutie Curatare Frane Model 5,128,17,177.56,228.56,0.247
8451,Electronice,[Electronice] Multimetru Analogic Model 80,25,6,65.39,80.27,0.162
8452,Perisabile,[Perisabile] Spray Degripant Model 73,100,8,168.35,276.81,0.066
8453,Hardware,Cheie Dinamometrica Model 55,16,5,31.17,60.3,0.119
8454,Perisabile,[Perisabile] Adeziv Industrial Model 29,109,20,100.51,190.95,0.07
8455,Auto,Furtun Intercooler 2.0 TDI Model 57,107,7,271.57,614.97,0.237
8456,Auto,Baterie 12V 70Ah Model 17,72,6,30.28,69.41,0.459
8457,Hardware,Trusa Tubulare Model 75,89,5,235.82,320.84,0.154
8458,Perisabile,[Perisabile] Solutie Curatare Frane Model 31,6,18,104.61,146.14,0.127
8459,Auto,Filtru Aer Model 87,75,12,217.35,422.62,0.345
8460,Electronice,[Electronice] Osciloscop Model 3,119,8,185.7,385.56,0.277
8461,Auto,Set Placute Frana Model 57,87,12,268.96,652.3,0.051
8462,Auto,Set Placute Frana Model 10,91,10,45.02,68.48,0.039
8463,Perisabile,[Perisabile] Solutie Curatare Frane Model 88,130,15,25.56,62.39,0.107
8464,Perisabile,[Perisabile] Spray Degripant Model 65,125,5,273.46,510.53,0.142
8465,Perisabile,[Perisabile] Adeziv Industrial Model 82,62,17,202.79,465.79,0.347
8466,Hardware,Trusa Tubulare Model 41,121,14,51.11,86.82,0.273
8467,Hardware,Set Imbusuri Model 62,31,6,152.58,284.29,0.481
8468,Electronice,[Electronice] Modul Transmisie LoRa Model 66,142,10,16.44,35.03,0.227
8469,Electronice,[Electronice] Sursa Laborator Model 5,70,7,198.94,295.32,0.228
8470,Electronice,[Electronice] Sursa Laborator Model 65,147,10,106.5,181.82,0.089
8471,Hardware,Set Imbusuri Model 53,88,8,236.58,584.92,0.287
8472,Electronice,[Electronice] Multimetru Analogic Model 62,6,15,116.57,176.2,0.046
8473,Perisabile,[Perisabile] Spray Degripant Model 55,2,16,58.53,136.8,0.145
8474,Hardware,Set Imbusuri Model 47,85,14,139.88,172.37,0.073
8475,Electronice,[Electronice] Osciloscop Model 68,140,11,177.73,405.4,0.391
8476,Auto,Baterie 12V 70Ah Model 92,122,18,66.18,133.36,0.162
8477,Perisabile,[Perisabile] Spray Degripant Model 18,71,13,235.69,410.78,0.109
8478,Perisabile,[Perisabile] Adeziv Industrial Model 23,58,19,268.42,452.52,0.172
8479,Perisabile,[Perisabile] Spray Degripant Model 93,3,13,246.56,604.56,0.462
8480,Hardware,Incarcator Gaz Model 32,23,15,46.45,92.98,0.081
8481,Electronice,[Electronice] Modul Transmisie LoRa Model 35,30,7,21.63,40.26,0.332
8482,Perisabile,[Perisabile] Solutie Curatare Frane Model 73,124,5,260.81,374.03,0.129
8483,Hardware,Set Imbusuri Model 14,119,16,273.08,347.5,0.419
8484,Perisabile,[Perisabile] Spray Degripant Model 80,31,15,136.86,265.24,0.426
8485,Auto,Filtru Aer Model 91,43,15,38.23,90.37,0.187
8486,Perisabile,[Perisabile] Spray Degripant Model 14,85,6,244.44,538.1,0.178
8487,Electronice,[Electronice] Modul Transmisie LoRa Model 95,26,16,246.16,422.75,0.316
8488,Electronice,[Electronice] Multimetru Analogic Model 66,55,15,298.54,368.04,0.238
8489,Hardware,Trusa Tubulare Model 83,26,8,53.32,76.91,0.235
8490,Perisabile,[Perisabile] Adeziv Industrial Model 39,144,18,122.73,247.13,0.076
8491,Auto,Furtun Intercooler 2.0 TDI Model 1,28,20,79.9,148.39,0.223
8492,Hardware,Trusa Tubulare Model 45,40,10,58.73,119.5,0.463
8493,Electronice,[Electronice] Multimetru Analogic Model 94,125,15,54.38,129.91,0.317
8494,Electronice,[Electronice] Sursa Laborator Model 21,38,7,263.97,413.96,0.098
8495,Auto,Set Placute Frana Model 90,46,14,128.0,204.12,0.187
8496,Electronice,[Electronice] Multimetru Analogic Model 34,49,10,28.56,69.51,0.364
8497,Hardware,Incarcator Gaz Model 35,87,15,96.4,165.04,0.355
8498,Auto,Filtru Aer Model 22,136,17,189.73,408.12,0.301
8499,Electronice,[Electronice] Osciloscop Model 56,81,16,228.0,284.27,0.484
8500,Hardware,Cheie Dinamometrica Model 96,40,13,40.75,61.53,0.285
8501,Auto,Senzor Debitmetru Model 53,43,13,82.06,99.51,0.363
8502,Electronice,[Electronice] Sursa Laborator Model 17,50,16,45.18,97.27,0.267
8503,Hardware,Set Imbusuri Model 56,87,11,139.07,210.42,0.191
8504,Hardware,Trusa Tubulare Model 79,100,13,39.05,52.4,0.397
8505,Perisabile,[Perisabile] Solutie Curatare Frane Model 11,121,13,89.07,111.7,0.465
8506,Electronice,[Electronice] Modul Transmisie LoRa Model 65,126,15,81.93,175.56,0.094
8507,Hardware,Trusa Tubulare Model 91,75,20,40.22,95.44,0.475
8508,Perisabile,[Perisabile] Spray Degripant Model 35,84,10,38.04,57.29,0.151
8509,Perisabile,[Perisabile] Adeziv Industrial Model 37,89,19,142.06,305.05,0.341
8510,Perisabile,[Perisabile] Solutie Curatare Frane Model 55,9,11,172.64,428.89,0.267
8511,Electronice,[Electronice] Osciloscop Model 57,85,16,33.41,41.09,0.242
8512,Hardware,Trusa Tubulare Model 38,127,20,216.51,269.84,0.316
8513,Perisabile,[Perisabile] Solutie Curatare Frane Model 13,13,11,197.91,406.94,0.289
8514,Auto,Filtru Aer Model 98,49,5,295.82,547.7,0.436
8515,Hardware,Trusa Tubulare Model 19,50,16,173.06,281.08,0.26
8516,Hardware,Incarcator Gaz Model 88,73,17,120.1,283.02,0.442
8517,Auto,Set Placute Frana Model 64,132,7,273.48,584.48,0.442
8518,Auto,Senzor Debitmetru Model 66,62,12,250.33,527.49,0.438
